iata,icao,name,country,municipality,lat,lon,elevation
ENK,EGAB,Enniskillen/St Angelo Airport,GB,"Enniskillen, Fermanagh and Omagh",54.398274,-7.651179,155
ENN,PANN,Nenana Municipal Airport,US,Nenana,64.548772,-149.074516,362
ENO,SGEN,Teniente Ramon A. Ayub Gonzalez International Airport,PY,Encarnación,-27.227537,-55.837584,659
ENS,EHTW,Twente Airport,NL,Enschede,52.275833,6.889167,114
ENT,PKMA,Eniwetok Airport,MH,Eniwetok Atoll,11.340700149536133,162.3280029296875,13
ENU,DNEN,Akanu Ibiam International Airport,NG,Enegu,6.473718,7.560463,466
ENV,KENV,Wendover Airport,US,Wendover,40.7187004089,-114.03099823,4237
ENW,KENW,Kenosha Regional Airport,US,Kenosha,42.59569931,-87.92780304,742
ENY,ZLYA,Yan'an Nanniwan Airport,CN,Yan'an (Baota),36.479413,109.464083,
EOH,SKMD,Enrique Olaya Herrera Airport,CO,Medellín,6.219686,-75.590597,4949
EOI,EGED,Eday Airport,GB,Eday,59.19060134887695,-2.7722198963165283,10
EOR,SVED,El Dorado Airport,VE,Bolivar,6.71573,-61.638786,318
EOZ,SVEZ,Elorza Airport,VE,,7.059677,-69.4967,295
EPA,SADP,El Palomar Airport,AR,El Palomar,-34.6099,-58.6126,59
EPL,LFSG,Épinal Mirecourt Airport,FR,Épinal,48.325001,6.06998,1084
EPR,YESP,Esperance Airport,AU,Esperance,-33.684399,121.822998,470
EPU,EEPU,Pärnu Airport,EE,Pärnu,58.41899871826172,24.47279930114746,47
EQS,SAVE,Esquel Brigadier Antonio Parodi International Airport,AR,Esquel,-42.908001,-71.139503,2621
ERC,LTCD,Erzincan Airport,TR,Erzincan,39.7102012634,39.527000427199994,3783
ERD,UKDB,Berdyansk Airport,UA,Berdyansk,46.814999,36.758099,171
ERF,EDDE,Erfurt-Weimar Airport,DE,Erfurt,50.978281,10.960713,1036
ERH,GMFK,Moulay Ali Cherif Airport,MA,Errachidia,31.9475002289,-4.39833021164,3428
ERI,KERI,Erie International Tom Ridge Field,US,Erie,42.083127,-80.173867,732
ERL,ZBER,Erenhot Saiwusu International Airport,CN,Erenhot,43.424079,112.091081,3301
ERS,FYWE,Eros Airport,NA,Windhoek,-22.60492,17.079002,5575
ERZ,LTCE,Erzurum International Airport,TR,Erzurum,39.956501,41.1702,5763
ESB,LTAC,Esenboğa International Airport,TR,Ankara,40.128101,32.995098,3125
ESC,KESC,Delta County Airport,US,Escanaba,45.723199,-87.088623,609
ESD,KORS,Orcas Island Airport,US,Eastsound,48.708199,-122.910004,31
ESE,MMES,Ensenada International Airport / El Ciprés Air Base,MX,Ensenada,31.794516,-116.602384,66
ESF,KESF,Esler Army Airfield / Esler Regional Airport,US,Alexandria,31.394266,-92.294082,112
ESG,SGME,Dr. Luis María Argaña International Airport,PY,Mariscal Estigarribia,-22.046499,-60.6217,553
ESH,EGKA,Brighton City Airport,GB,"Brighton, East Sussex",50.835602,-0.297222,7
ESK,LTBI,Eskişehir Air Base,TR,Eskişehir,39.7841,30.5821,2581
ESL,URWI,Elista Airport,RU,Elista,46.373901,44.330898,501
ESM,SETN,Carlos Concha Torres International Airport,EC,Tachina,0.978519,-79.626602,32
ESR,SCES,Ricardo García Posada Airport,CL,El Salvador,-26.3111,-69.765198,5240
ESU,GMMI,Essaouira-Mogador Airport,MA,Essaouira,31.397499,-9.68167,384
ETM,LLER,Ramon International Airport,IL,Eilat,29.727009,35.014116,288
ETR,SERO,Santa Rosa - Artillery Colonel Victor Larrea International Airport,EC,Santa Rosa,-3.441986,-79.996957,20
ETZ,LFJL,Metz-Nancy-Lorraine Airport,FR,Goin,48.982101,6.25132,870
EUA,NFTE,Kaufana Airport,TO,Eua Island,-21.378299713100002,-174.957992554,325
EUG,KEUG,Eugene Airport,US,Eugene,44.124599,-123.211998,374
EUN,GMML,Laayoune Hassan I International Airport,EH,El Aaiún,27.142467,-13.224947,207
EUQ,RPVS,Evelio Javier Airport,PH,San Jose,10.766644,121.932506,23
EUX,TNCE,F. D. Roosevelt Airport,BQ,Oranjestad,17.4965,-62.979401,129
EVE,ENEV,Harstad/Narvik Airport,NO,Evenes,68.491302,16.678101,84
EVG,ESND,Sveg Airport,SE,Sveg,62.047798,14.4229,1178
EVN,UDYZ,Zvartnots International Airport,AM,Yerevan,40.148941,44.397887,2838
EVV,KEVV,Evansville Regional Airport,US,Evansville,38.0369987488,-87.5324020386,418
EVW,KEVW,Evanston-Uinta County Airport-Burns Field,US,Evanston,41.27479935,-111.0350037,7143
EVX,LFOE,Évreux-Fauville (BA 105) Air Base,FR,"Fauville, Eure",49.028702,1.21986,464
EWB,KEWB,New Bedford Regional Airport,US,New Bedford,41.67610168457031,-70.95690155029297,80
EWN,KEWN,Coastal Carolina Regional Airport,US,New Bern,35.0730018616,-77.04290008539999,18
EWR,KEWR,Newark Liberty International Airport,US,Newark,40.6894,-74.170545,18
EXT,EGTE,Exeter International Airport,GB,"Exeter, Devon",50.734261,-3.413984,102
EYK,USHQ,Beloyarskiy Airport,RU,,63.686901,66.698601,82
EYP,SKYP,El Alcaravan - Yopal Airport,CO,Yopal,5.31911,-72.384,1028
EYW,KEYW,Key West International Airport,US,Key West,24.556119,-81.759579,3
EZE,SAEZ,Ezeiza International Airport - Ministro Pistarini,AR,Buenos Aires (Ezeiza),-34.8222,-58.5358,67
